class,AP
giraffe,0.04318079675853366
orange,0.019801980198019795
tv,0.015198662723415196
cup,0.013579950568721367
keyboard,0.009597883751508792
tennis racket,0.009551860261214093
clock,0.008791642601351428
toilet,0.00849243241594787
sports ball,0.008087272009634525
pizza,0.006746121686178945
dog,0.006556656200750809
bus,0.006435643564356435
sink,0.006202679091438555
apple,0.005940594059405941
person,0.005045050368005109
laptop,0.00495049504950495
bear,0.004207920792079208
bottle,0.0037409882077945435
truck,0.003608353311391331
train,0.0035162659123055156
cat,0.0034365551112199052
broccoli,0.0031353135313531354
skateboard,0.0029702970297029703
frisbee,0.002477338636868501
dining table,0.0023664866486648663
chair,0.0017854537498699181
car,0.0015062871068633615
book,0.0013984825607518943
airplane,0.0013201320132013201
mouse,0.0008486562942008486
vase,0.0005940594059405942
bench,0.0005589268604279783
tie,0.00018859028760018857
cell phone,8.486562942008487e-05
surfboard,3.4141345168999655e-05
sheep,0.0
bed,0.0
potted plant,0.0
boat,0.0
cake,0.0
donut,0.0
couch,0.0
remote,0.0
hot dog,0.0
microwave,0.0
oven,0.0
motorcycle,0.0
refrigerator,0.0
scissors,0.0
teddy bear,0.0
hair drier,0.0
traffic light,0.0
sandwich,0.0
carrot,0.0
fire hydrant,0.0
elephant,0.0
horse,0.0
zebra,0.0
backpack,0.0
umbrella,0.0
handbag,0.0
suitcase,0.0
skis,0.0
snowboard,0.0
bird,0.0
kite,0.0
baseball bat,0.0
baseball glove,0.0
bicycle,0.0
wine glass,0.0
parking meter,0.0
fork,0.0
knife,0.0
spoon,0.0
bowl,0.0
banana,0.0
stop sign,0.0
cow,0.0
toothbrush,0.0
toaster,
